index,sourcetype,data
"_audit",audittrail,"_audit@audittrail"
"_internal",eventgen,"_internal@eventgen"
"_internal","eventgen_metrics","_internal@eventgen_metrics"
"_internal","first_install-too_small","_internal@first_install-too_small"
"_internal",mongod,"_internal@mongod"
"_internal",scheduler,"_internal@scheduler"
"_internal","splunk_web_access","_internal@splunk_web_access"
"_internal","splunk_web_service","_internal@splunk_web_service"
"_internal",splunkd,"_internal@splunkd"
"_internal","splunkd_access","_internal@splunkd_access"
"_internal","splunkd_conf","_internal@splunkd_conf"
"_internal","splunkd_stderr","_internal@splunkd_stderr"
"_internal","splunkd_stdout-too_small","_internal@splunkd_stdout-too_small"
"_internal","splunkd_ui_access","_internal@splunkd_ui_access"
"_internal","unix_configured_handler-too_small","_internal@unix_configured_handler-too_small"
"_introspection",kvstore,"_introspection@kvstore"
"_introspection","splunk_disk_objects","_introspection@splunk_disk_objects"
"_telemetry",splunkd,"_telemetry@splunkd"
main,"Linux:SELinuxConfig","main@Linux:SELinuxConfig"
main,"Linux:Service","main@Linux:Service"
main,"Linux:Update","main@Linux:Update"
main,"Linux:VSFTPDConfig","main@Linux:VSFTPDConfig"
main,"MonitorWare:Security","main@MonitorWare:Security"
main,"NTSyslog:Security","main@NTSyslog:Security"
main,"OSX:Service","main@OSX:Service"
main,"OSX:Update","main@OSX:Update"
main,"Solaris:Service","main@Solaris:Service"
main,"Unix:ListeningPorts","main@Unix:ListeningPorts"
main,"Unix:SSHDConfig","main@Unix:SSHDConfig"
main,"Unix:Uptime","main@Unix:Uptime"
main,"Unix:UserAccounts","main@Unix:UserAccounts"
main,"Unix:Version","main@Unix:Version"
main,"access_combined_wcookie","main@access_combined_wcookie"
main,"config_file","main@config_file"
main,dhcpd,"main@dhcpd"
main,"fs_notification","main@fs_notification"
main,"linux_secure","main@linux_secure"
main,"linux_syslog","main@linux_syslog"
main,"rlogin_too_many_failures","main@rlogin_too_many_failures"
main,secure,"main@secure"
main,"vendor_sales","main@vendor_sales"
os,cpu,"os@cpu"
os,df,"os@df"
os,iostat,"os@iostat"
os,protocol,"os@protocol"
os,ps,"os@ps"
os,top,"os@top"
os,vmstat,"os@vmstat"
perfmon,"Perfmon:CPU","perfmon@Perfmon:CPU"
perfmon,"Perfmon:CPUTime","perfmon@Perfmon:CPUTime"
perfmon,"Perfmon:FreeDiskSpace","perfmon@Perfmon:FreeDiskSpace"
perfmon,"Perfmon:LocalNetwork","perfmon@Perfmon:LocalNetwork"
perfmon,"Perfmon:LocalPhysicalDisk","perfmon@Perfmon:LocalPhysicalDisk"
perfmon,"Perfmon:LocalProcesses","perfmon@Perfmon:LocalProcesses"
perfmon,"Perfmon:Memory","perfmon@Perfmon:Memory"
summary,stash,"summary@stash"
test,"access_combined_wcookie","test@access_combined_wcookie"
test,secure,"test@secure"
test,"vendor_sales","test@vendor_sales"
windows,DhcpSrvLog,"windows@DhcpSrvLog"
windows,Processor,"windows@Processor"
windows,"Script:ListeningPorts","windows@Script:ListeningPorts"
windows,"WMI:ScheduledJobs","windows@WMI:ScheduledJobs"
windows,"WMI:Service","windows@WMI:Service"
windows,"WMI:Uptime","windows@WMI:Uptime"
windows,"WMI:UserAccounts","windows@WMI:UserAccounts"
windows,"WMI:Version","windows@WMI:Version"
windows,WinHostMon,"windows@WinHostMon"
windows,WinRegistry,"windows@WinRegistry"
windows,WindowsUpdateLog,"windows@WindowsUpdateLog"
wineventlog,"WinEventLog:Security","wineventlog@WinEventLog:Security"
wineventlog,"WinEventLog:System","wineventlog@WinEventLog:System"
wineventlog,"XmlWinEventLog:Security","wineventlog@XmlWinEventLog:Security"
wineventlog,"XmlWinEventLog:System","wineventlog@XmlWinEventLog:System"
