user,role,idx,"_mkv_child",st,status
admin,admin,main,0,"Snare:Security",BadSearch
admin,admin,main,1,"Unix:UserAccounts",BadSearch
admin,admin,main,2,"WinEventLog:Security:Lasso",BadSearch
admin,admin,main,3,"access_combined",BadSearch
admin,admin,main,4,"config_file",BadSearch
admin,admin,main,5,csv,BadSearch
admin,admin,main,6,dhcpd,BadSearch
admin,admin,main,7,"linux_secure",BadSearch
admin,admin,main,8,"pan:system",BadSearch
admin,admin,main,9,"pan:threat",BadSearch
admin,admin,main,10,"pan:traffic",BadSearch
admin,admin,main,11,"pan:wildfire_report",BadSearch
admin,admin,main,12,"qualys:hostDetection",BadSearch
admin,admin,main,13,"qualys:wasFindings",BadSearch
admin,admin,main,14,"rlogin_too_many_failures",BadSearch
admin,admin,main,15,"stream:dns",BadSearch
admin,admin,main,16,"stream:http",BadSearch
admin,admin,main,17,"stream:ip",BadSearch
admin,admin,main,18,"stream:tcp",BadSearch
admin,admin,main,19,"stream:udp",BadSearch
admin,admin,os,0,cpu,BadSearch
admin,admin,os,1,df,BadSearch
admin,admin,os,2,iostat,BadSearch
admin,admin,os,3,protocol,BadSearch
admin,admin,os,4,ps,BadSearch
admin,admin,os,5,top,BadSearch
admin,admin,os,6,vmstat,BadSearch
fred,power,main,0,"Snare:Security",BadSearch
fred,power,main,1,"Unix:UserAccounts",BadSearch
fred,power,main,2,"WinEventLog:Security:Lasso",BadSearch
fred,power,main,3,"access_combined",BadSearch
fred,power,main,4,"config_file",BadSearch
fred,power,main,5,csv,BadSearch
fred,power,main,6,dhcpd,BadSearch
fred,power,main,7,"linux_secure",BadSearch
fred,power,main,8,"pan:system",BadSearch
fred,power,main,9,"pan:threat",BadSearch
fred,power,main,10,"pan:traffic",BadSearch
fred,power,main,11,"pan:wildfire_report",BadSearch
fred,power,main,12,"qualys:hostDetection",BadSearch
fred,power,main,13,"qualys:wasFindings",BadSearch
fred,power,main,14,"rlogin_too_many_failures",BadSearch
fred,power,main,15,"stream:dns",BadSearch
fred,power,main,16,"stream:http",BadSearch
fred,power,main,17,"stream:ip",BadSearch
fred,power,main,18,"stream:tcp",BadSearch
fred,power,main,19,"stream:udp",BadSearch
fred,user,main,0,"Snare:Security",BadSearch
fred,user,main,1,"Unix:UserAccounts",BadSearch
fred,user,main,2,"WinEventLog:Security:Lasso",BadSearch
fred,user,main,3,"access_combined",BadSearch
fred,user,main,4,"config_file",BadSearch
fred,user,main,5,csv,BadSearch
fred,user,main,6,dhcpd,BadSearch
fred,user,main,7,"linux_secure",BadSearch
fred,user,main,8,"pan:system",BadSearch
fred,user,main,9,"pan:threat",BadSearch
fred,user,main,10,"pan:traffic",BadSearch
fred,user,main,11,"pan:wildfire_report",BadSearch
fred,user,main,12,"qualys:hostDetection",BadSearch
fred,user,main,13,"qualys:wasFindings",BadSearch
fred,user,main,14,"rlogin_too_many_failures",BadSearch
fred,user,main,15,"stream:dns",BadSearch
fred,user,main,16,"stream:http",BadSearch
fred,user,main,17,"stream:ip",BadSearch
fred,user,main,18,"stream:tcp",BadSearch
fred,user,main,19,"stream:udp",BadSearch
